invoice_number,date,net_worth,tax_id_1,tax_id_2,iban,seller_city,seller_state,seller_zip,client_city,client_state,client_zip,seller_name,seller_address,client_name,client_address,source_file,vat,gross_worth
17045625,11/01/2017,28.24,903-94-7610,913-98-2620,GB43AYYU13392404742725,Port Jenniferfurt,ID,01419,Port Jenniferfurt,ID,01419,Bass-Petersen,88013 Keith Orchard,Davidson-Martinez,36262 Walters Vista,invoice_0_color_B_248.pdf0.txt,2.824,31.064
61356291,09/06/2012,192.81,949-84-9105,939-98-8477,GB50ACIE59715038217063,Smithmouth,NC,26872,Smithmouth,NC,26872,"Chapman, Kim and Green",64731 James Branch,Rodriguez-Stevens,2280 Angela Plain,invoice_1.pdf0.txt,19.281000000000002,212.091
49565075,10/28/2019,87.94,964-95-3813,909-75-5482,GB73WCI55232646970614,Bernardville,VA,28211,Bernardville,VA,28211,Kane-Morgan,968 Carr Mission Apt. 320,Garcia Inc,445 Haas Viaduct Suite 454,invoice_10.pdf0.txt,8.794,96.734
95611677,07/19/2016,958.27,973-97-5084,952-81-0165,GB95MPFV88552069556163,Reginaport,AZ,06940,Reginaport,AZ,06940,Franco Group,796 Arnold Cove Apt. 091,Johnson Group,0693 Robin Mountain Apt. 180,invoice_100.pdf0.txt,95.827,1054.097
49822251,02/21/2015,247.94,943-88-3422,992-98-6676,GB32BSVJ18563928156491,East Amandahaven,CT,79669,East Amandahaven,CT,79669,House Group,71729 Scott Garden Suite 427,Espinoza LLC,336 Michael Court Suite 674,invoice_100_color_B_242.pdf0.txt,24.794,272.734
26020078,11/19/2019,105.93,944-91-8763,942-86-9388,GB93YUAY48784201603098,DPO ,AA,74927,DPO ,AA,74927,"Johnson, Coleman and Mccarthy",Unit 1928 Box 1473,"Ochoa, Crane and Johnston",537 Johnson Rapid Suite 176,invoice_101.pdf0.txt,10.593000000000002,116.52300000000001
34069390,05/09/2016,3884.47,909-77-8706,949-73-3279,GB49JHMV37488350534063,Lake Brianaport,LA,06730,Lake Brianaport,LA,06730,Benton PLC,8518 Tanner Islands Apt. 622,"Fuller, Thomas and Green",137 Ruiz Corners,invoice_101_color_B_245.pdf0.txt,388.447,4272.9169999999995
42485588,03/15/2012,194.92,923-88-8185,970-99-7937,GB47NOKI45420514797164,Port Sarah,NM,29233,Port Sarah,NM,29233,Zuniga and Sons,455 Jones Trace Suite 479,Knight-Brown,316 Garrett Valleys,invoice_102.pdf0.txt,19.492,214.41199999999998
72794429,03/15/2021,259.98,932-82-1959,945-97-3734,GB97ZAJJ81744871749453,Williamborough,AZ,96941,Williamborough,AZ,96941,"Navarro, Nguyen and Peters",66812 Kurt Pine,Frost PLC,176 Sanders Plains Apt. 012,invoice_102_color_B_240.pdf0.txt,25.998000000000005,285.978
94689364,01/12/2015,33776.06,943-70-0376,963-73-0110,GB67GYBL21403855924419,New Marilyn,WA,49740,New Marilyn,WA,49740,"Schwartz, Flynn and Jackson",59888 Dawn Valley Suite 242,Wilson PLC,674 Leon Cape Suite 819,invoice_103.pdf0.txt,3377.6059999999998,37153.666
